deal_id,account_id,deal_name,stage,amount_usd,created_date,expected_close_date,deal_owner,next_step,loss_reason
DEAL-2017,ACC-1227,Verdant Financial - Brand System,Negotiation,120000,2025-07-16,2025-11-03,Jordan Ellis,Waiting on budget confirmation,
DEAL-2018,ACC-1162,Terrace Labs - Brand System,Proposal Sent,320000,2025-10-06,2026-01-22,Naomi Fielding,Intro to procurement pending,
DEAL-2019,ACC-1136,Beacon Digital - Rebrand,Closed Won,240000,2025-07-25,2025-10-28,Priya Raman,Contract redlines in progress,
DEAL-2020,ACC-1187,Covalent Health - Website Rebuild,Scoping,180000,2025-10-15,2025-12-21,Naomi Fielding,Awaiting proposal feedback,
DEAL-2021,ACC-1177,Solstice Analytics - Campaign,Closed Lost,400000,2025-10-10,2026-01-20,Dmitri Lazarev,Awaiting proposal feedback,Lost to in-house team
DEAL-2022,ACC-1121,Ember Platforms - Campaign,Proposal Sent,320000,2026-02-16,2026-06-10,Priya Raman,Re-engaging after summer pause,
DEAL-2023,ACC-1188,Kestrel Systems - Website Rebuild,Negotiation,180000,2025-07-09,2025-08-18,Priya Raman,Contract redlines in progress,
DEAL-2024,ACC-1019,Lattice Technologies - Content Engine,Closed Won,180000,2025-11-05,2025-12-21,Jordan Ellis,Intro to procurement pending,
DEAL-2025,ACC-1070,Harbor Software - Website Rebuild,Closed Won,75000,2026-01-16,2026-05-03,Priya Raman,Contract redlines in progress,
DEAL-2026,ACC-1189,Willowrun Systems - Campaign,Discovery,240000,2025-09-06,2025-10-28,Jordan Ellis,Re-engaging after summer pause,
DEAL-2027,ACC-1179,Brightlane Networks - Campaign,Scoping,120000,2025-06-17,2025-07-21,Naomi Fielding,Awaiting proposal feedback,
DEAL-2028,ACC-1247,Drift - Rebrand,Discovery,120000,2025-07-04,2025-09-24,Samuel Okafor,Follow-up call scheduled,
DEAL-2029,ACC-1169,Kiln Analytics - Content Engine,Proposal Sent,400000,2025-12-19,2026-02-13,Samuel Okafor,Waiting on budget confirmation,
DEAL-2030,ACC-1215,Juniper - Brand System,Scoping,400000,2025-10-30,2025-12-13,Naomi Fielding,Follow-up call scheduled,
DEAL-2031,ACC-1118,Parallax Networks - Website Rebuild,Scoping,180000,2025-07-14,2025-10-20,Theo Blackwood,Reviewing scope with exec sponsor,
DEAL-2032,ACC-1174,Vantage Networks - Content Engine,Negotiation,240000,2025-10-31,2025-12-18,Priya Raman,Re-engaging after summer pause,
DEAL-2033,ACC-1111,Luma Financial - Campaign,Discovery,240000,2025-08-31,2025-12-25,Clara Voss,Contract redlines in progress,
DEAL-2034,ACC-1174,Vantage Networks - Content Engine,Closed Lost,75000,2025-09-14,2025-12-08,Priya Raman,Waiting on budget confirmation,Unresponsive
DEAL-2035,ACC-1069,Juniper Analytics - Content Engine,Scoping,180000,2026-01-23,2026-03-26,Clara Voss,Reviewing scope with exec sponsor,
DEAL-2036,ACC-1118,Parallax Networks - Content Engine,Closed Won,400000,2025-11-11,2026-03-07,Theo Blackwood,Re-engaging after summer pause,
DEAL-2037,ACC-1049,Solstice Logistics - Content Engine,Proposal Sent,400000,2025-12-12,2026-02-20,Jordan Ellis,Awaiting proposal feedback,
DEAL-2038,ACC-1172,Kiln - Brand System,Discovery,75000,2026-03-08,2026-05-29,Priya Raman,Contract redlines in progress,
DEAL-2039,ACC-1026,Riverbend Labs - Campaign,Negotiation,180000,2025-11-22,2026-01-27,Ava Morgenstern,Follow-up call scheduled,
DEAL-2040,ACC-1008,Kestrel Health - Website Rebuild,Discovery,75000,2026-02-13,2026-05-30,Dmitri Lazarev,Contract redlines in progress,
DEAL-2041,ACC-1163,Kiln Digital - Website Rebuild,Discovery,75000,2026-01-29,2026-05-16,Priya Raman,Reviewing scope with exec sponsor,
DEAL-2042,ACC-1168,Plume Systems - Website Rebuild,Closed Won,400000,2025-12-10,2026-01-23,Theo Blackwood,Intro to procurement pending,
DEAL-2043,ACC-1075,Opal Health - Rebrand,Proposal Sent,75000,2025-07-25,2025-09-28,Naomi Fielding,Waiting on budget confirmation,
DEAL-2044,ACC-1231,Axiom Technologies - Brand System,Negotiation,180000,2025-11-03,2025-12-23,Dmitri Lazarev,Intro to procurement pending,
DEAL-2045,ACC-1198,Umbra - Campaign,Discovery,240000,2025-09-25,2025-11-01,Jordan Ellis,Re-engaging after summer pause,
DEAL-2046,ACC-1067,Oakline Labs - Content Engine,Discovery,75000,2025-07-06,2025-08-30,Jordan Ellis,Reviewing scope with exec sponsor,
DEAL-2047,ACC-1045,Lattice Group - Rebrand,Negotiation,75000,2025-12-31,2026-04-09,Samuel Okafor,Follow-up call scheduled,
DEAL-2048,ACC-1157,Beacon Technologies - Brand System,Negotiation,240000,2025-11-02,2025-12-15,Ava Morgenstern,Awaiting proposal feedback,
DEAL-2049,ACC-1018,Opal Technologies - Rebrand,Proposal Sent,180000,2025-07-29,2025-08-30,Ava Morgenstern,Follow-up call scheduled,
DEAL-2050,ACC-1167,Covalent Digital - Website Rebuild,Negotiation,75000,2025-08-27,2025-10-30,Dmitri Lazarev,Waiting on budget confirmation,
DEAL-2051,ACC-1084,Willowrun Group - Rebrand,Closed Lost,320000,2026-03-13,2026-06-16,Clara Voss,Reviewing scope with exec sponsor,No decision
DEAL-2052,ACC-1103,Kiln Logistics - Rebrand,Closed Won,75000,2025-11-19,2025-12-19,Samuel Okafor,Waiting on budget confirmation,
DEAL-2053,ACC-1209,Harbor Group - Campaign,Closed Won,75000,2025-09-12,2025-11-23,Jordan Ellis,Reviewing scope with exec sponsor,
DEAL-2054,ACC-1014,Norton Health - Content Engine,Negotiation,400000,2026-01-27,2026-04-13,Dmitri Lazarev,Re-engaging after summer pause,
DEAL-2055,ACC-1245,Drift Digital - Website Rebuild,Scoping,240000,2025-10-17,2026-02-06,Clara Voss,Follow-up call scheduled,
DEAL-2056,ACC-1141,Cinder Analytics - Rebrand,Discovery,240000,2025-12-07,2026-02-13,Priya Raman,Awaiting proposal feedback,
DEAL-2057,ACC-1161,Kestrel Digital - Rebrand,Negotiation,240000,2026-01-30,2026-05-20,Samuel Okafor,Waiting on budget confirmation,
DEAL-2058,ACC-1048,Harbor Networks - Website Rebuild,Discovery,120000,2026-03-02,2026-06-15,Dmitri Lazarev,Reviewing scope with exec sponsor,
DEAL-2059,ACC-1099,Solstice Group - Content Engine,Discovery,320000,2025-10-08,2026-01-09,Clara Voss,Re-engaging after summer pause,
DEAL-2060,ACC-1207,Foxglove Systems - Brand System,Proposal Sent,75000,2026-02-24,2026-05-08,Samuel Okafor,Intro to procurement pending,
DEAL-2061,ACC-1201,Northwind Analytics - Content Engine,Negotiation,240000,2026-01-13,2026-03-11,Clara Voss,Reviewing scope with exec sponsor,
DEAL-2062,ACC-1240,Quill Technologies - Website Rebuild,Negotiation,320000,2025-12-28,2026-04-11,Ava Morgenstern,Awaiting proposal feedback,
DEAL-2063,ACC-1009,Ember Financial - Content Engine,Negotiation,240000,2026-03-05,2026-06-03,Clara Voss,Awaiting proposal feedback,
DEAL-2064,ACC-1062,Valence Digital - Brand System,Negotiation,120000,2026-03-07,2026-04-28,Theo Blackwood,Intro to procurement pending,
DEAL-2065,ACC-1210,Riverbend Digital - Brand System,Closed Won,240000,2025-12-17,2026-04-01,Samuel Okafor,Re-engaging after summer pause,
DEAL-2066,ACC-1209,Harbor Group - Website Rebuild,Discovery,240000,2025-11-22,2025-12-30,Jordan Ellis,Reviewing scope with exec sponsor,
DEAL-2067,ACC-1086,Valence Logistics - Brand System,Closed Won,400000,2025-08-21,2025-10-31,Jordan Ellis,Waiting on budget confirmation,
DEAL-2068,ACC-1147,Ironwood Cloud - Content Engine,Proposal Sent,180000,2025-11-25,2025-12-30,Priya Raman,Follow-up call scheduled,
DEAL-2069,ACC-1085,Kestrel Networks - Website Rebuild,Discovery,180000,2026-01-01,2026-03-25,Naomi Fielding,Waiting on budget confirmation,
DEAL-2070,ACC-1094,Foxglove Analytics - Brand System,Proposal Sent,240000,2025-11-10,2026-02-22,Clara Voss,Follow-up call scheduled,
DEAL-2071,ACC-1025,Parallax Cloud - Brand System,Closed Won,400000,2025-09-03,2025-10-23,Theo Blackwood,Reviewing scope with exec sponsor,
DEAL-2072,ACC-1020,Flint Technologies - Content Engine,Discovery,120000,2026-01-28,2026-05-28,Ava Morgenstern,Intro to procurement pending,
DEAL-2073,ACC-1106,Monarch AI - Website Rebuild,Negotiation,240000,2026-01-09,2026-03-06,Jordan Ellis,Waiting on budget confirmation,
DEAL-2074,ACC-1069,Juniper Analytics - Content Engine,Proposal Sent,240000,2025-11-12,2026-01-03,Clara Voss,Waiting on budget confirmation,
DEAL-2075,ACC-1009,Ember Financial - Brand System,Proposal Sent,400000,2025-07-02,2025-10-18,Clara Voss,Waiting on budget confirmation,
DEAL-2076,ACC-1211,Riverbend Logistics - Content Engine,Closed Won,180000,2025-08-12,2025-09-11,Theo Blackwood,Follow-up call scheduled,
DEAL-2077,ACC-1049,Solstice Logistics - Campaign,Discovery,320000,2026-01-25,2026-05-14,Jordan Ellis,Re-engaging after summer pause,
DEAL-2078,ACC-1194,Parallax Software - Website Rebuild,Closed Lost,320000,2025-11-22,2026-02-19,Jordan Ellis,Intro to procurement pending,Budget
DEAL-2079,ACC-1049,Solstice Logistics - Website Rebuild,Discovery,120000,2025-07-15,2025-10-16,Jordan Ellis,Follow-up call scheduled,
DEAL-2080,ACC-1171,Vantage Analytics - Website Rebuild,Closed Lost,75000,2025-09-09,2025-11-14,Samuel Okafor,Reviewing scope with exec sponsor,Went with competitor
DEAL-2081,ACC-1085,Kestrel Networks - Brand System,Negotiation,240000,2026-02-20,2026-04-04,Naomi Fielding,Contract redlines in progress,
DEAL-2082,ACC-1045,Lattice Group - Brand System,Discovery,75000,2025-07-09,2025-10-12,Samuel Okafor,Awaiting proposal feedback,
DEAL-2083,ACC-1229,Beacon AI - Website Rebuild,Scoping,240000,2025-09-29,2025-12-21,Jordan Ellis,Waiting on budget confirmation,
DEAL-2084,ACC-1173,Vantage AI - Website Rebuild,Closed Won,120000,2026-01-17,2026-03-29,Theo Blackwood,Awaiting proposal feedback,
DEAL-2085,ACC-1060,Verdant Labs - Brand System,Negotiation,120000,2025-09-03,2025-10-31,Samuel Okafor,Reviewing scope with exec sponsor,
DEAL-2086,ACC-1149,Oakline Digital - Content Engine,Proposal Sent,240000,2025-12-30,2026-02-25,Priya Raman,Reviewing scope with exec sponsor,
DEAL-2087,ACC-1045,Lattice Group - Campaign,Scoping,120000,2025-07-23,2025-09-15,Samuel Okafor,Intro to procurement pending,
DEAL-2088,ACC-1051,Willowrun Financial - Website Rebuild,Scoping,75000,2026-02-12,2026-04-18,Samuel Okafor,Awaiting proposal feedback,
DEAL-2089,ACC-1218,Indigo Digital - Website Rebuild,Proposal Sent,240000,2025-12-17,2026-02-28,Naomi Fielding,Intro to procurement pending,
DEAL-2090,ACC-1154,Helix Cloud - Content Engine,Discovery,400000,2025-12-17,2026-03-30,Naomi Fielding,Re-engaging after summer pause,
DEAL-2091,ACC-1058,Upland - Content Engine,Discovery,320000,2025-07-07,2025-09-02,Priya Raman,Reviewing scope with exec sponsor,
DEAL-2092,ACC-1214,Pioneer Cloud - Website Rebuild,Proposal Sent,75000,2025-08-07,2025-10-07,Ava Morgenstern,Intro to procurement pending,
DEAL-2093,ACC-1111,Luma Financial - Brand System,Proposal Sent,320000,2025-12-28,2026-04-10,Clara Voss,Reviewing scope with exec sponsor,
DEAL-2094,ACC-1011,Thornbury Systems - Rebrand,Discovery,240000,2025-06-29,2025-08-02,Jordan Ellis,Contract redlines in progress,
DEAL-2095,ACC-1100,Northwind Financial - Rebrand,Proposal Sent,400000,2026-01-23,2026-04-20,Dmitri Lazarev,Follow-up call scheduled,
DEAL-2096,ACC-1021,Foxglove - Website Rebuild,Proposal Sent,75000,2025-08-18,2025-10-14,Jordan Ellis,Intro to procurement pending,
DEAL-2097,ACC-1075,Opal Health - Campaign,Scoping,75000,2026-03-06,2026-06-05,Naomi Fielding,Follow-up call scheduled,
DEAL-2098,ACC-1180,Helix Platforms - Rebrand,Proposal Sent,320000,2026-03-02,2026-05-29,Dmitri Lazarev,Re-engaging after summer pause,
DEAL-2099,ACC-1035,Redshore Group - Rebrand,Closed Won,240000,2025-12-10,2026-02-25,Samuel Okafor,Waiting on budget confirmation,
DEAL-2100,ACC-1162,Terrace Labs - Campaign,Discovery,400000,2026-02-06,2026-04-26,Naomi Fielding,Contract redlines in progress,
DEAL-2101,ACC-1008,Kestrel Health - Brand System,Scoping,180000,2025-11-28,2026-03-25,Dmitri Lazarev,Contract redlines in progress,
DEAL-2102,ACC-1225,Pioneer Digital - Campaign,Scoping,75000,2025-06-24,2025-10-18,Samuel Okafor,Awaiting proposal feedback,
DEAL-2103,ACC-1028,Verdant Networks - Campaign,Scoping,240000,2026-02-22,2026-05-09,Theo Blackwood,Follow-up call scheduled,
DEAL-2104,ACC-1165,Beacon Networks - Campaign,Proposal Sent,75000,2025-11-30,2026-01-16,Ava Morgenstern,Follow-up call scheduled,
DEAL-2105,ACC-1138,Luma Networks - Campaign,Discovery,240000,2025-11-27,2026-01-24,Ava Morgenstern,Intro to procurement pending,
DEAL-2106,ACC-1229,Beacon AI - Brand System,Scoping,400000,2025-08-10,2025-10-14,Jordan Ellis,Awaiting proposal feedback,
DEAL-2107,ACC-1095,Ember Group - Brand System,Scoping,240000,2025-07-01,2025-10-06,Dmitri Lazarev,Reviewing scope with exec sponsor,
DEAL-2108,ACC-1181,Opal Labs - Content Engine,Proposal Sent,320000,2025-10-16,2026-01-11,Priya Raman,Intro to procurement pending,
DEAL-2109,ACC-1204,Axiom AI - Rebrand,Negotiation,400000,2026-02-09,2026-04-04,Priya Raman,Awaiting proposal feedback,
DEAL-2110,ACC-1020,Flint Technologies - Brand System,Scoping,120000,2025-10-18,2025-11-26,Ava Morgenstern,Follow-up call scheduled,
DEAL-2111,ACC-1070,Harbor Software - Website Rebuild,Discovery,120000,2025-07-03,2025-08-21,Priya Raman,Contract redlines in progress,
DEAL-2112,ACC-1243,Vantage Digital - Content Engine,Negotiation,180000,2025-08-13,2025-12-08,Jordan Ellis,Follow-up call scheduled,
DEAL-2113,ACC-1121,Ember Platforms - Website Rebuild,Scoping,240000,2026-03-04,2026-05-10,Priya Raman,Awaiting proposal feedback,
DEAL-2114,ACC-1005,Thornbury Cloud - Campaign,Closed Won,120000,2025-06-21,2025-10-11,Samuel Okafor,Reviewing scope with exec sponsor,
DEAL-2115,ACC-1148,Flint Digital - Content Engine,Scoping,400000,2025-09-28,2025-12-29,Samuel Okafor,Waiting on budget confirmation,
DEAL-2116,ACC-1178,Kestrel Logistics - Campaign,Proposal Sent,320000,2025-07-30,2025-10-26,Samuel Okafor,Contract redlines in progress,
DEAL-2117,ACC-1033,Helix Analytics - Website Rebuild,Closed Won,180000,2025-12-17,2026-02-18,Priya Raman,Reviewing scope with exec sponsor,
DEAL-2118,ACC-1095,Ember Group - Campaign,Closed Lost,75000,2025-12-29,2026-03-14,Dmitri Lazarev,Reviewing scope with exec sponsor,Timing
DEAL-2119,ACC-1158,Kestrel Group - Website Rebuild,Closed Lost,400000,2025-10-19,2025-12-11,Theo Blackwood,Re-engaging after summer pause,Lost to in-house team
DEAL-2120,ACC-1177,Solstice Analytics - Brand System,Closed Lost,120000,2025-12-22,2026-02-20,Dmitri Lazarev,Awaiting proposal feedback,Went with competitor
DEAL-2121,ACC-1147,Ironwood Cloud - Website Rebuild,Discovery,180000,2025-09-06,2025-10-29,Priya Raman,Contract redlines in progress,
DEAL-2122,ACC-1181,Opal Labs - Campaign,Discovery,180000,2025-09-19,2025-11-06,Priya Raman,Reviewing scope with exec sponsor,
DEAL-2123,ACC-1138,Luma Networks - Brand System,Closed Lost,320000,2025-10-11,2025-11-25,Ava Morgenstern,Reviewing scope with exec sponsor,No decision
DEAL-2124,ACC-1196,Verdant Technologies - Brand System,Discovery,240000,2025-10-02,2025-11-20,Jordan Ellis,Waiting on budget confirmation,
DEAL-2125,ACC-1139,Helix - Campaign,Closed Lost,180000,2025-10-14,2026-01-12,Naomi Fielding,Re-engaging after summer pause,Internal resource
DEAL-2126,ACC-1170,Harbor Systems - Brand System,Discovery,320000,2025-07-31,2025-10-12,Dmitri Lazarev,Waiting on budget confirmation,
DEAL-2127,ACC-1122,Vantage Labs - Brand System,Closed Lost,120000,2026-01-14,2026-03-24,Ava Morgenstern,Reviewing scope with exec sponsor,Internal resource
DEAL-2128,ACC-1215,Juniper - Brand System,Scoping,180000,2026-01-26,2026-04-07,Naomi Fielding,Contract redlines in progress,
DEAL-2129,ACC-1164,Foxglove Labs - Website Rebuild,Discovery,320000,2025-11-21,2026-01-25,Naomi Fielding,Awaiting proposal feedback,
DEAL-2130,ACC-1021,Foxglove - Rebrand,Proposal Sent,240000,2026-01-29,2026-05-04,Jordan Ellis,Follow-up call scheduled,
DEAL-2131,ACC-1125,Garnet Logistics - Campaign,Scoping,320000,2025-06-26,2025-08-02,Clara Voss,Reviewing scope with exec sponsor,
DEAL-2132,ACC-1037,Juniper Technologies - Campaign,Negotiation,240000,2025-09-06,2025-11-24,Samuel Okafor,Awaiting proposal feedback,
DEAL-2133,ACC-1072,Ironwood AI - Brand System,Scoping,180000,2025-07-29,2025-11-07,Jordan Ellis,Follow-up call scheduled,
DEAL-2134,ACC-1186,Umbra Labs - Campaign,Closed Won,400000,2025-08-14,2025-11-08,Theo Blackwood,Follow-up call scheduled,
DEAL-2135,ACC-1206,Umbra Cloud - Content Engine,Negotiation,240000,2025-08-14,2025-09-30,Dmitri Lazarev,Contract redlines in progress,
DEAL-2136,ACC-1022,Terrace Networks - Campaign,Discovery,180000,2025-07-14,2025-10-19,Ava Morgenstern,Awaiting proposal feedback,
DEAL-2137,ACC-1238,Upland Logistics - Rebrand,Closed Lost,240000,2026-01-28,2026-02-27,Ava Morgenstern,Waiting on budget confirmation,Went with competitor
DEAL-2138,ACC-1106,Monarch AI - Website Rebuild,Discovery,240000,2026-01-03,2026-02-27,Jordan Ellis,Re-engaging after summer pause,
DEAL-2139,ACC-1097,Foxglove Networks - Content Engine,Scoping,240000,2026-02-21,2026-04-30,Ava Morgenstern,Intro to procurement pending,
DEAL-2140,ACC-1126,Northwind Systems - Brand System,Proposal Sent,240000,2025-11-20,2025-12-23,Ava Morgenstern,Follow-up call scheduled,
DEAL-2141,ACC-1067,Oakline Labs - Campaign,Scoping,400000,2025-07-16,2025-08-30,Jordan Ellis,Reviewing scope with exec sponsor,
DEAL-2142,ACC-1045,Lattice Group - Brand System,Proposal Sent,400000,2025-11-09,2025-12-12,Samuel Okafor,Re-engaging after summer pause,
DEAL-2143,ACC-1070,Harbor Software - Rebrand,Proposal Sent,75000,2025-09-10,2025-12-23,Priya Raman,Contract redlines in progress,
DEAL-2144,ACC-1111,Luma Financial - Brand System,Closed Won,400000,2025-07-14,2025-11-09,Clara Voss,Intro to procurement pending,
DEAL-2145,ACC-1131,Silverleaf AI - Content Engine,Negotiation,75000,2025-11-02,2025-12-22,Naomi Fielding,Awaiting proposal feedback,
DEAL-2146,ACC-1037,Juniper Technologies - Website Rebuild,Scoping,400000,2026-01-04,2026-03-20,Samuel Okafor,Awaiting proposal feedback,
DEAL-2147,ACC-1069,Juniper Analytics - Campaign,Scoping,400000,2025-09-13,2025-10-19,Clara Voss,Intro to procurement pending,
DEAL-2148,ACC-1135,Verdant Software - Website Rebuild,Negotiation,75000,2025-06-24,2025-08-17,Theo Blackwood,Re-engaging after summer pause,
DEAL-2149,ACC-1024,Umbra Platforms - Campaign,Proposal Sent,120000,2025-09-30,2025-12-09,Ava Morgenstern,Intro to procurement pending,
DEAL-2150,ACC-1175,Lattice Financial - Content Engine,Negotiation,180000,2026-01-24,2026-05-02,Priya Raman,Intro to procurement pending,
DEAL-2151,ACC-1210,Riverbend Digital - Campaign,Discovery,120000,2025-06-22,2025-08-27,Samuel Okafor,Re-engaging after summer pause,
DEAL-2152,ACC-1124,Beacon Labs - Website Rebuild,Proposal Sent,120000,2026-01-21,2026-03-19,Dmitri Lazarev,Contract redlines in progress,
DEAL-2153,ACC-1056,Nimbus - Content Engine,Closed Won,320000,2025-06-18,2025-09-24,Naomi Fielding,Waiting on budget confirmation,
DEAL-2154,ACC-1193,Willowrun Platforms - Brand System,Closed Won,240000,2025-07-22,2025-08-30,Jordan Ellis,Re-engaging after summer pause,
DEAL-2155,ACC-1033,Helix Analytics - Campaign,Closed Lost,240000,2025-09-17,2025-11-25,Priya Raman,Follow-up call scheduled,Unresponsive
DEAL-2156,ACC-1113,Indigo Labs - Website Rebuild,Closed Won,320000,2025-06-20,2025-09-01,Samuel Okafor,Waiting on budget confirmation,
DEAL-2157,ACC-1077,Pioneer AI - Website Rebuild,Discovery,75000,2025-11-21,2026-01-06,Ava Morgenstern,Waiting on budget confirmation,
DEAL-2158,ACC-1058,Upland - Rebrand,Scoping,120000,2026-01-07,2026-02-16,Priya Raman,Waiting on budget confirmation,
DEAL-2159,ACC-1195,Nimbus Networks - Rebrand,Closed Won,75000,2026-03-05,2026-06-04,Samuel Okafor,Awaiting proposal feedback,
DEAL-2160,ACC-1050,Thornbury AI - Brand System,Discovery,400000,2025-06-25,2025-10-08,Clara Voss,Reviewing scope with exec sponsor,
DEAL-2161,ACC-1030,Verdant Cloud - Brand System,Closed Lost,75000,2026-02-09,2026-04-18,Priya Raman,Re-engaging after summer pause,Budget
DEAL-2162,ACC-1200,Quill Group - Website Rebuild,Discovery,320000,2025-11-29,2026-03-14,Theo Blackwood,Follow-up call scheduled,
DEAL-2163,ACC-1171,Vantage Analytics - Content Engine,Scoping,75000,2025-12-30,2026-03-05,Samuel Okafor,Intro to procurement pending,
DEAL-2164,ACC-1090,Lattice Software - Content Engine,Discovery,320000,2025-11-11,2026-02-13,Clara Voss,Awaiting proposal feedback,
DEAL-2165,ACC-1025,Parallax Cloud - Website Rebuild,Closed Won,75000,2025-06-17,2025-08-13,Theo Blackwood,Intro to procurement pending,
DEAL-2166,ACC-1043,Solstice Cloud - Website Rebuild,Closed Lost,320000,2026-03-12,2026-04-23,Naomi Fielding,Contract redlines in progress,Unresponsive
DEAL-2167,ACC-1181,Opal Labs - Brand System,Proposal Sent,400000,2025-12-10,2026-03-06,Priya Raman,Follow-up call scheduled,
DEAL-2168,ACC-1213,Flint Networks - Content Engine,Scoping,240000,2025-08-09,2025-10-05,Naomi Fielding,Follow-up call scheduled,
DEAL-2169,ACC-1104,Ironwood Group - Brand System,Discovery,180000,2026-01-10,2026-04-09,Dmitri Lazarev,Contract redlines in progress,
DEAL-2170,ACC-1034,Quest Analytics - Brand System,Proposal Sent,180000,2025-10-18,2026-01-27,Ava Morgenstern,Awaiting proposal feedback,
DEAL-2171,ACC-1083,Helix Financial - Content Engine,Proposal Sent,240000,2025-10-20,2026-01-16,Jordan Ellis,Waiting on budget confirmation,
DEAL-2172,ACC-1079,Silverleaf Health - Rebrand,Negotiation,240000,2025-11-19,2026-02-27,Clara Voss,Intro to procurement pending,
DEAL-2173,ACC-1218,Indigo Digital - Campaign,Proposal Sent,75000,2025-07-14,2025-11-07,Naomi Fielding,Follow-up call scheduled,
DEAL-2174,ACC-1003,Garnet Digital - Rebrand,Closed Lost,240000,2026-01-20,2026-04-10,Theo Blackwood,Contract redlines in progress,Lost to in-house team
DEAL-2175,ACC-1173,Vantage AI - Content Engine,Discovery,120000,2025-08-24,2025-11-13,Theo Blackwood,Awaiting proposal feedback,
DEAL-2176,ACC-1189,Willowrun Systems - Website Rebuild,Closed Lost,120000,2026-02-09,2026-04-26,Jordan Ellis,Intro to procurement pending,Timing
DEAL-2177,ACC-1152,Covalent Technologies - Rebrand,Closed Won,240000,2026-01-11,2026-03-11,Theo Blackwood,Waiting on budget confirmation,
DEAL-2178,ACC-1127,Pioneer Platforms - Rebrand,Scoping,400000,2025-10-26,2026-02-15,Dmitri Lazarev,Intro to procurement pending,
DEAL-2179,ACC-1121,Ember Platforms - Campaign,Negotiation,240000,2025-07-09,2025-10-12,Priya Raman,Follow-up call scheduled,
