target_id,company_name,website,industry,employee_count,estimated_revenue_usd,hq_country,funding_stage,last_funding_date,recent_funding_18mo,recent_leadership_hire_marketing,recent_rebrand_12mo,in_house_creative_team_size,tech_stack,linkedin_followers
TGT-50027,Monarch Systems,https://monarchsystems.com,FinTech,922,132000000,Canada,Bootstrapped,,No,No,No,0,"Salesforce, Marketo, Contentful, Figma",43051
TGT-50028,Willowrun,https://willowrun.com,B2B SaaS,116,3000000,Canada,Series B,2024-03-01,No,No,No,1,"HubSpot, Webflow, Notion",59717
TGT-50029,Ember AI,https://emberai.ai,HR Tech,60,3000000,Germany,Public,,No,No,No,1,"HubSpot, Figma, Intercom",74817
TGT-50030,Brightlane Labs,https://brightlanelabs.com,HealthTech,334,1000000,Germany,Series B,2024-07-12,Yes,No,No,0,"HubSpot, Webflow, Segment, Gong",4662
TGT-50031,Nimbus AI,https://nimbusai.co,Consumer Goods,12,339000000,Canada,Seed,2024-10-08,No,No,No,4,"Zoho, Sendinblue, WordPress",26390
TGT-50032,Thornbury Group,https://thornburygroup.com,PropTech,865,1000000,Australia,Series B,2023-11-01,No,No,No,12,"HubSpot, Webflow, Segment, Gong",54129
TGT-50033,Kiln Health,https://kilnhealth.ai,E-commerce Platform,35,489000000,USA,Bootstrapped,,Yes,Yes,No,15,"Salesforce, Marketo, Contentful, Figma",6058
TGT-50034,Ironwood Financial,https://ironwoodfinancial.com,Data & Analytics,205,19000000,Canada,Public,,No,Yes,No,5,"HubSpot, Figma, Intercom",70545
TGT-50035,Terrace Analytics,https://terraceanalytics.com,Cybersecurity,686,15000000,Canada,Series B,2025-06-26,No,No,No,0,"Pipedrive, Mailchimp, Squarespace",76209
TGT-50036,Lattice Platforms,https://latticeplatforms.co,Logistics,1382,27000000,Canada,Public,,Yes,No,No,4,"Salesforce, Marketo, WordPress",73292
TGT-50037,Opal Platforms,https://opalplatforms.ai,MarTech,1069,78000000,USA,Bootstrapped,,No,No,Yes,20,"HubSpot, Webflow, Notion",16094
TGT-50038,Silverleaf Software,https://silverleafsoftware.io,MarTech,73,38000000,USA,PE-Backed,2024-11-29,Yes,No,No,0,"Salesforce, Pardot, Drupal",36967
TGT-50039,Terrace Digital,https://terracedigital.co,Manufacturing,514,3000000,Canada,Seed,2025-09-25,No,No,No,0,"Salesforce, Pardot, Drupal",24344
TGT-50040,Thornbury Health,https://thornburyhealth.ai,E-commerce Platform,29,3000000,USA,PE-Backed,2024-07-12,Yes,No,No,4,"Salesforce, Marketo, Contentful, Figma",23544
TGT-50041,Silverleaf Networks,https://silverleafnetworks.co,Data & Analytics,1832,3000000,Australia,Series D+,2024-05-17,Yes,Yes,No,0,"Pipedrive, Mailchimp, Squarespace",37232
TGT-50042,Juniper Financial,https://juniperfinancial.io,Legal Tech,441,121000000,USA,Series D+,2025-05-11,No,No,Yes,1,"Salesforce, Marketo, Contentful, Figma",70933
TGT-50043,Thornbury Group,https://thornburygroup.ai,EdTech,34,1000000,USA,PE-Backed,2024-12-13,No,No,No,2,"Salesforce, Marketo, WordPress",20072
TGT-50044,Vantage Analytics,https://vantageanalytics.com,Logistics,41,336000000,Canada,Seed,2025-08-31,Yes,Yes,Yes,9,"Zoho, Sendinblue, WordPress",6580
TGT-50045,Northwind Financial,https://northwindfinancial.co,Logistics,63,35000000,USA,Seed,2023-10-26,No,Yes,No,15,"Zoho, Sendinblue, WordPress",50702
TGT-50046,Solstice Cloud,https://solsticecloud.io,Manufacturing,38,1000000,USA,Series C,2024-03-22,No,Yes,No,4,"Zoho, Sendinblue, WordPress",9677
TGT-50047,Beacon Cloud,https://beaconcloud.io,HR Tech,732,440000000,USA,Series B,2025-04-27,No,No,No,3,"Salesforce, Marketo, Contentful, Figma",76137
TGT-50048,Juniper Group,https://junipergroup.com,Dev Tools,1549,4000000,USA,Bootstrapped,,No,No,No,2,"Pipedrive, Mailchimp, Squarespace",75484
TGT-50049,Parallax Technologies,https://parallaxtechnologies.ai,B2B SaaS,227,396000000,Germany,Bootstrapped,,No,No,No,2,"Salesforce, Marketo, WordPress",23267
TGT-50050,Cinder,https://cinder.co,Data & Analytics,1016,67000000,Canada,Series C,2026-01-11,No,No,No,16,"HubSpot, Webflow, Segment, Gong",80300
TGT-50051,Thornbury Technologies,https://thornburytechnologies.ai,Data & Analytics,583,325000000,UK,Public,,No,No,No,2,"Salesforce, Marketo, Contentful, Figma",30095
TGT-50052,Kiln Financial,https://kilnfinancial.ai,Dev Tools,562,71000000,UK,PE-Backed,2025-10-04,No,No,No,15,"HubSpot, Figma, Intercom",82217
TGT-50053,Terrace Cloud,https://terracecloud.ai,B2B SaaS,1179,4000000,USA,Series A,2025-06-19,Yes,No,No,0,"HubSpot, Webflow, Segment, Gong",75556
TGT-50054,Cinder Systems,https://cindersystems.ai,HR Tech,625,90000000,USA,Seed,2024-06-23,No,No,No,2,"Zoho, Sendinblue, WordPress",10017
TGT-50055,Verdant Systems,https://verdantsystems.ai,MarTech,37,14000000,USA,Series B,2024-09-27,Yes,No,Yes,1,"Zoho, Sendinblue, WordPress",46587
TGT-50056,Riverbend Financial,https://riverbendfinancial.io,FinTech,720,233000000,USA,Seed,2025-02-25,No,No,Yes,2,"Salesforce, Pardot, Drupal",12181
TGT-50057,Meridian Peak Group,https://meridianpeakgroup.com,FinTech,29,2000000,Canada,Series B,2025-01-13,No,No,Yes,15,"Zoho, Sendinblue, WordPress",66161
TGT-50058,Indigo Health,https://indigohealth.com,Dev Tools,446,89000000,UK,Series C,2024-04-01,Yes,No,No,2,"Pipedrive, Mailchimp, Squarespace",47753
TGT-50059,Harbor Labs,https://harborlabs.co,HealthTech,591,16000000,USA,Series B,2024-05-13,No,No,No,16,"HubSpot, Webflow, Segment, Gong",44887
TGT-50060,Brightlane Networks,https://brightlanenetworks.co,E-commerce Platform,11,207000000,UK,Public,,Yes,Yes,No,15,"Zoho, Sendinblue, WordPress",21402
TGT-50061,Foxglove Financial,https://foxglovefinancial.ai,Cybersecurity,123,32000000,USA,Bootstrapped,,Yes,No,No,5,"HubSpot, Webflow, Notion",21467
TGT-50062,Quill Software,https://quillsoftware.co,Data & Analytics,1680,15000000,Australia,Series C,2025-02-14,No,No,No,18,"HubSpot, Webflow, Segment, Gong",82712
TGT-50063,Quest Labs,https://questlabs.io,E-commerce Platform,522,23000000,Germany,Series B,2024-02-18,No,Yes,No,4,"Zoho, Sendinblue, WordPress",65748
TGT-50064,Norton Digital,https://nortondigital.io,EdTech,31,4000000,USA,Seed,2024-01-28,No,No,No,18,"HubSpot, Webflow, Segment, Gong",6627
TGT-50065,Ironwood Financial,https://ironwoodfinancial.ai,PropTech,42,216000000,USA,Series B,2025-05-13,Yes,No,Yes,0,"Salesforce, Marketo, Contentful, Figma",77792
TGT-50066,Solstice Systems,https://solsticesystems.io,Logistics,1467,72000000,UK,Series C,2024-02-01,No,No,No,3,"Salesforce, Marketo, Contentful, Figma",66614
TGT-50067,Axiom Financial,https://axiomfinancial.ai,E-commerce Platform,1617,1000000,Australia,Series D+,2024-08-12,No,No,No,1,"Zoho, Sendinblue, WordPress",32124
TGT-50068,Drift AI,https://driftai.io,Legal Tech,550,3000000,Germany,Seed,2025-12-28,Yes,No,No,16,"HubSpot, Figma, Intercom",49715
TGT-50069,Ember Cloud,https://embercloud.ai,MarTech,67,122000000,USA,PE-Backed,2025-01-03,No,No,No,1,"HubSpot, Webflow, Notion",46348
TGT-50070,Monarch Networks,https://monarchnetworks.co,Insurance Tech,116,2000000,Canada,PE-Backed,2024-03-09,Yes,No,No,20,"HubSpot, Webflow, Notion",15296
TGT-50071,Kiln Platforms,https://kilnplatforms.io,B2B SaaS,1919,137000000,USA,Series D+,2025-03-23,Yes,No,No,14,"Salesforce, Marketo, Contentful, Figma",27811
TGT-50072,Upland Software,https://uplandsoftware.com,MarTech,1516,148000000,Germany,Seed,2025-10-02,Yes,No,Yes,3,"Pipedrive, Mailchimp, Squarespace",3220
TGT-50073,Pioneer Health,https://pioneerhealth.com,PropTech,1107,37000000,Canada,Series D+,2024-04-06,Yes,No,No,1,"HubSpot, Webflow, Notion",32628
TGT-50074,Norton,https://norton.com,Cybersecurity,1786,58000000,USA,Series B,2025-12-24,No,No,No,3,"Salesforce, Marketo, Contentful, Figma",79822
TGT-50075,Brightlane Health,https://brightlanehealth.co,Government,1539,355000000,USA,Series A,2026-03-04,No,No,No,1,"Pipedrive, Mailchimp, Squarespace",65200
TGT-50076,Solstice,https://solstice.ai,Dev Tools,1211,3000000,USA,Series B,2023-11-15,Yes,No,No,0,"HubSpot, Webflow, Segment, Gong",7017
TGT-50077,Redshore,https://redshore.com,Government,33,264000000,USA,Series D+,2023-12-17,Yes,No,No,5,"Pipedrive, Mailchimp, Squarespace",67342
TGT-50078,Lattice Financial,https://latticefinancial.co,Consumer Goods,20,426000000,USA,PE-Backed,2025-03-25,Yes,Yes,No,10,"HubSpot, Figma, Intercom",18347
TGT-50079,Drift Labs,https://driftlabs.co,Consumer Goods,46,89000000,USA,Series C,2023-12-07,Yes,No,No,3,"Zoho, Sendinblue, WordPress",10869
TGT-50080,Redshore Financial,https://redshorefinancial.io,MarTech,648,1000000,Canada,Series D+,2024-05-17,No,No,No,5,"HubSpot, Webflow, Segment, Gong",78283
TGT-50081,Oakline Platforms,https://oaklineplatforms.com,Consumer Goods,79,4000000,USA,Series D+,2024-04-29,No,No,No,1,"HubSpot, Webflow, Notion",30093
TGT-50082,Thornbury Software,https://thornburysoftware.ai,HR Tech,190,418000000,USA,Public,,No,No,No,12,"Pipedrive, Mailchimp, Squarespace",49995
TGT-50083,Covalent Platforms,https://covalentplatforms.com,Dev Tools,40,366000000,USA,Series C,2023-11-27,No,No,No,3,"Pipedrive, Mailchimp, Squarespace",79579
TGT-50084,Redshore Labs,https://redshorelabs.ai,PropTech,206,472000000,USA,Series B,2025-10-01,No,Yes,No,2,"Pipedrive, Mailchimp, Squarespace",13188
TGT-50085,Ironwood Cloud,https://ironwoodcloud.co,Insurance Tech,630,3000000,USA,Bootstrapped,,No,No,No,2,"Salesforce, Marketo, Contentful, Figma",2503
TGT-50086,Kestrel,https://kestrel.ai,E-commerce Platform,822,114000000,USA,PE-Backed,2025-01-27,No,No,No,4,"Pipedrive, Mailchimp, Squarespace",76000
TGT-50087,Thornbury,https://thornbury.co,Logistics,45,393000000,Australia,Seed,2024-09-06,No,Yes,No,18,"Salesforce, Pardot, Drupal",23756
TGT-50088,Beacon Group,https://beacongroup.ai,FinTech,14,2000000,Canada,Series C,2025-07-24,Yes,No,Yes,20,"HubSpot, Figma, Intercom",33162
TGT-50089,Opal Analytics,https://opalanalytics.io,Manufacturing,1548,99000000,Canada,Seed,2024-09-14,No,No,No,15,"Salesforce, Pardot, Drupal",38836
TGT-50090,Valence Software,https://valencesoftware.io,B2B SaaS,55,17000000,USA,Public,,No,No,No,2,"Salesforce, Pardot, Drupal",74100
TGT-50091,Cinder Analytics,https://cinderanalytics.com,Logistics,30,460000000,Australia,Bootstrapped,,Yes,No,No,5,"HubSpot, Figma, Intercom",5173
TGT-50092,Quill,https://quill.ai,Government,1405,11000000,USA,Series B,2024-07-14,No,Yes,No,5,"HubSpot, Figma, Intercom",35702
TGT-50093,Riverbend Networks,https://riverbendnetworks.co,HR Tech,1450,344000000,USA,Public,,No,No,Yes,1,"HubSpot, Webflow, Segment, Gong",58917
TGT-50094,Verdant Health,https://verdanthealth.com,Dev Tools,745,2000000,Canada,Seed,2024-11-12,No,No,Yes,1,"Pipedrive, Mailchimp, Squarespace",72030
TGT-50095,Beacon Labs,https://beaconlabs.io,Government,1338,4000000,Canada,PE-Backed,2026-01-04,No,No,No,4,"Pipedrive, Mailchimp, Squarespace",34770
TGT-50096,Garnet Digital,https://garnetdigital.io,HR Tech,1406,130000000,USA,PE-Backed,2025-03-11,Yes,No,No,1,"Salesforce, Pardot, Drupal",42877
TGT-50097,Helix,https://helix.io,Consumer Goods,1441,2000000,USA,Series B,2025-11-22,No,No,No,5,"Zoho, Sendinblue, WordPress",21863
TGT-50098,Lattice Financial,https://latticefinancial.ai,Cybersecurity,1264,310000000,USA,Bootstrapped,,Yes,No,No,0,"Pipedrive, Mailchimp, Squarespace",16902
TGT-50099,Solstice Systems,https://solsticesystems.co,Legal Tech,196,200000000,USA,Series A,2025-06-03,Yes,No,No,0,"HubSpot, Figma, Intercom",42519
TGT-50100,Norton Financial,https://nortonfinancial.ai,MarTech,43,377000000,USA,Series B,2025-05-08,Yes,No,No,17,"HubSpot, Webflow, Notion",41216
TGT-50101,Helix Cloud,https://helixcloud.ai,Cybersecurity,44,499000000,Germany,Series A,2025-01-21,Yes,Yes,No,4,"HubSpot, Webflow, Segment, Gong",51385
TGT-50102,Umbra Group,https://umbragroup.co,Insurance Tech,23,16000000,USA,Series D+,2024-05-03,No,No,No,1,"Zoho, Sendinblue, WordPress",28238
TGT-50103,Vantage Platforms,https://vantageplatforms.io,Insurance Tech,217,11000000,USA,PE-Backed,2026-01-23,No,No,No,4,"Salesforce, Pardot, Drupal",66284
TGT-50104,Umbra Cloud,https://umbracloud.ai,EdTech,644,37000000,USA,Seed,2024-02-04,Yes,No,Yes,1,"Salesforce, Pardot, Drupal",48357
TGT-50105,Willowrun AI,https://willowrunai.ai,HealthTech,203,29000000,USA,Series D+,2024-02-25,Yes,No,No,3,"HubSpot, Webflow, Notion",8681
TGT-50106,Nimbus Logistics,https://nimbuslogistics.co,Legal Tech,34,24000000,USA,Seed,2026-02-18,No,No,No,14,"Zoho, Sendinblue, WordPress",82914
TGT-50107,Kiln Analytics,https://kilnanalytics.io,Data & Analytics,123,59000000,USA,Bootstrapped,,No,No,No,2,"HubSpot, Webflow, Notion",61213
TGT-50108,Vantage Health,https://vantagehealth.io,HR Tech,676,81000000,Canada,Bootstrapped,,No,No,Yes,0,"Salesforce, Marketo, Contentful, Figma",11361
TGT-50109,Silverleaf Networks,https://silverleafnetworks.com,Data & Analytics,46,120000000,UK,Series A,2025-09-10,Yes,No,No,0,"HubSpot, Webflow, Segment, Gong",18978
TGT-50110,Harbor Logistics,https://harborlogistics.io,Legal Tech,150,105000000,Canada,Bootstrapped,,No,No,No,4,"Salesforce, Marketo, WordPress",31167
TGT-50111,Riverbend AI,https://riverbendai.io,Government,453,286000000,Australia,Series C,2025-05-16,No,No,No,0,"Pipedrive, Mailchimp, Squarespace",63954
TGT-50112,Upland Platforms,https://uplandplatforms.com,E-commerce Platform,416,143000000,Canada,Bootstrapped,,Yes,No,No,5,"Pipedrive, Mailchimp, Squarespace",17582
TGT-50113,Quest Group,https://questgroup.io,Consumer Goods,527,461000000,USA,Seed,2025-11-27,Yes,Yes,No,0,"HubSpot, Webflow, Notion",64147
TGT-50114,Silverleaf AI,https://silverleafai.co,Government,26,65000000,USA,Bootstrapped,,Yes,No,No,5,"Salesforce, Marketo, Contentful, Figma",28077
TGT-50115,Juniper AI,https://juniperai.io,B2B SaaS,27,401000000,Canada,Bootstrapped,,No,No,No,4,"HubSpot, Webflow, Notion",26091
TGT-50116,Garnet Analytics,https://garnetanalytics.com,Logistics,714,118000000,USA,Bootstrapped,,Yes,No,No,20,"HubSpot, Webflow, Segment, Gong",64127
TGT-50117,Helix Digital,https://helixdigital.com,HR Tech,629,250000000,USA,Series B,2024-10-31,No,No,No,14,"Salesforce, Pardot, Drupal",21343
TGT-50118,Solstice Logistics,https://solsticelogistics.ai,HR Tech,108,17000000,USA,PE-Backed,2026-02-12,Yes,No,No,9,"Salesforce, Marketo, WordPress",34086
TGT-50119,Solstice Health,https://solsticehealth.ai,Consumer Goods,512,303000000,USA,Public,,Yes,No,No,17,"Salesforce, Pardot, Drupal",48588
TGT-50120,Drift Logistics,https://driftlogistics.com,FinTech,197,13000000,USA,Series C,2024-02-10,Yes,No,No,0,"Salesforce, Pardot, Drupal",15153
TGT-50121,Kiln Financial,https://kilnfinancial.com,Insurance Tech,30,4000000,USA,Public,,No,No,No,3,"HubSpot, Figma, Intercom",31156
TGT-50122,Flint Technologies,https://flinttechnologies.com,Logistics,322,414000000,UK,Seed,2024-07-22,No,No,No,0,"HubSpot, Figma, Intercom",65096
TGT-50123,Opal Cloud,https://opalcloud.co,MarTech,576,101000000,USA,Seed,2025-07-25,No,No,No,0,"Salesforce, Pardot, Drupal",28915
TGT-50124,Indigo Financial,https://indigofinancial.com,Legal Tech,327,3000000,Canada,Public,,No,No,No,0,"HubSpot, Webflow, Notion",8547
TGT-50125,Terrace,https://terrace.io,EdTech,144,226000000,USA,Series C,2025-09-30,No,Yes,No,1,"HubSpot, Webflow, Segment, Gong",40843
TGT-50126,Luma Networks,https://lumanetworks.co,Consumer Goods,1956,258000000,Canada,Series B,2025-03-04,No,No,No,4,"Salesforce, Marketo, Contentful, Figma",74238
TGT-50127,Valence Software,https://valencesoftware.co,MarTech,269,145000000,Canada,Bootstrapped,,No,No,No,8,"Salesforce, Marketo, WordPress",63120
TGT-50128,Umbra Financial,https://umbrafinancial.ai,Data & Analytics,55,57000000,USA,Seed,2024-01-09,Yes,Yes,No,0,"Salesforce, Marketo, Contentful, Figma",15283
TGT-50129,Luma Financial,https://lumafinancial.io,B2B SaaS,961,4000000,Canada,PE-Backed,2025-08-11,No,No,No,4,"Salesforce, Marketo, WordPress",64642
TGT-50130,Flint Networks,https://flintnetworks.co,EdTech,35,33000000,USA,Seed,2024-11-05,No,No,No,10,"HubSpot, Webflow, Segment, Gong",55659
TGT-50131,Parallax Logistics,https://parallaxlogistics.com,Cybersecurity,148,1000000,USA,PE-Backed,2026-01-07,No,Yes,No,1,"Salesforce, Pardot, Drupal",4668
TGT-50132,Solstice Logistics,https://solsticelogistics.io,Cybersecurity,107,421000000,USA,Public,,No,No,No,18,"Salesforce, Marketo, WordPress",54785
TGT-50133,Plume AI,https://plumeai.io,Cybersecurity,1092,120000000,USA,Seed,2025-02-20,Yes,No,Yes,3,"Zoho, Sendinblue, WordPress",39677
TGT-50134,Beacon Digital,https://beacondigital.co,FinTech,619,106000000,Canada,Series D+,2024-09-16,No,Yes,No,15,"Salesforce, Pardot, Drupal",38718
TGT-50135,Cinder Systems,https://cindersystems.co,HealthTech,645,29000000,USA,Series D+,2024-11-05,No,Yes,No,4,"Salesforce, Marketo, Contentful, Figma",48409
TGT-50136,Vantage Logistics,https://vantagelogistics.com,HealthTech,687,288000000,Canada,Series B,2024-10-26,Yes,No,No,3,"HubSpot, Figma, Intercom",15479
TGT-50137,Oakline AI,https://oaklineai.ai,FinTech,1318,69000000,Canada,Series B,2024-10-08,Yes,Yes,No,0,"HubSpot, Webflow, Notion",14852
TGT-50138,Terrace Analytics,https://terraceanalytics.com,Logistics,654,34000000,Germany,Public,,No,No,No,4,"Salesforce, Marketo, WordPress",64701
TGT-50139,Riverbend Technologies,https://riverbendtechnologies.co,FinTech,734,1000000,Canada,Seed,2024-02-15,Yes,No,No,0,"HubSpot, Webflow, Notion",45246
TGT-50140,Drift Software,https://driftsoftware.io,HealthTech,24,2000000,USA,Seed,2025-05-21,No,No,No,14,"Salesforce, Marketo, Contentful, Figma",56115
TGT-50141,Silverleaf Systems,https://silverleafsystems.co,HealthTech,79,226000000,UK,Series C,2025-02-09,No,No,No,0,"HubSpot, Figma, Intercom",863
TGT-50142,Redshore Technologies,https://redshoretechnologies.io,B2B SaaS,1507,261000000,USA,PE-Backed,2024-08-03,No,No,No,4,"HubSpot, Webflow, Segment, Gong",8315
TGT-50143,Verdant Technologies,https://verdanttechnologies.io,Logistics,42,220000000,UK,Series A,2026-02-19,No,No,No,3,"HubSpot, Figma, Intercom",36348
TGT-50144,Opal Financial,https://opalfinancial.com,Dev Tools,148,77000000,Germany,Series D+,2025-08-22,No,No,No,4,"Pipedrive, Mailchimp, Squarespace",41732
TGT-50145,Kestrel Analytics,https://kestrelanalytics.io,Data & Analytics,144,4000000,Canada,Series A,2024-07-10,Yes,No,No,3,"HubSpot, Figma, Intercom",60894
TGT-50146,Garnet Software,https://garnetsoftware.co,Dev Tools,85,72000000,Canada,Series B,2024-11-18,No,Yes,No,4,"HubSpot, Webflow, Notion",21902
TGT-50147,Ironwood Financial,https://ironwoodfinancial.co,Legal Tech,1681,31000000,USA,Series C,2024-01-09,No,No,No,2,"Pipedrive, Mailchimp, Squarespace",37182
TGT-50148,Foxglove Financial,https://foxglovefinancial.ai,Manufacturing,113,263000000,Australia,PE-Backed,2025-06-24,No,No,No,3,"Salesforce, Marketo, Contentful, Figma",83997
TGT-50149,Ironwood Health,https://ironwoodhealth.com,Consumer Goods,282,79000000,USA,Series B,2024-11-12,No,No,No,20,"HubSpot, Webflow, Segment, Gong",29857
TGT-50150,Oakline Logistics,https://oaklinelogistics.io,Consumer Goods,86,40000000,USA,Series C,2025-03-09,Yes,No,No,3,"HubSpot, Webflow, Segment, Gong",7078
TGT-50151,Monarch Labs,https://monarchlabs.ai,Manufacturing,43,86000000,USA,PE-Backed,2024-10-13,No,No,No,2,"HubSpot, Figma, Intercom",2872
TGT-50152,Valence AI,https://valenceai.com,Logistics,453,228000000,Australia,Series B,2025-04-24,No,No,No,12,"Zoho, Sendinblue, WordPress",11444
TGT-50153,Flint Software,https://flintsoftware.co,E-commerce Platform,1662,491000000,UK,Series B,2025-04-13,No,No,Yes,4,"HubSpot, Figma, Intercom",9272
TGT-50154,Harbor Software,https://harborsoftware.io,Government,135,3000000,Germany,Series C,2024-07-25,No,No,No,14,"HubSpot, Webflow, Segment, Gong",39080
TGT-50155,Plume Cloud,https://plumecloud.ai,EdTech,168,2000000,Canada,Bootstrapped,,No,Yes,No,3,"HubSpot, Figma, Intercom",42708
TGT-50156,Cinder Digital,https://cinderdigital.com,B2B SaaS,549,403000000,Canada,Seed,2024-06-06,No,No,No,13,"Salesforce, Marketo, Contentful, Figma",24837
TGT-50157,Terrace Systems,https://terracesystems.ai,Logistics,1957,140000000,Canada,Series B,2026-01-08,No,No,No,1,"Pipedrive, Mailchimp, Squarespace",34356
TGT-50158,Pioneer Health,https://pioneerhealth.co,Manufacturing,1635,447000000,USA,Public,,Yes,No,No,11,"Salesforce, Marketo, WordPress",1989
TGT-50159,Verdant Software,https://verdantsoftware.com,Manufacturing,47,39000000,UK,Bootstrapped,,No,No,No,3,"Zoho, Sendinblue, WordPress",54841
TGT-50160,Riverbend Health,https://riverbendhealth.com,MarTech,41,146000000,USA,Series B,2024-01-29,No,No,No,1,"Zoho, Sendinblue, WordPress",75880
TGT-50161,Covalent Software,https://covalentsoftware.io,Government,1840,4000000,Canada,Public,,No,No,No,5,"Salesforce, Pardot, Drupal",61257
TGT-50162,Drift AI,https://driftai.ai,Dev Tools,36,304000000,USA,Series B,2025-05-13,Yes,No,No,2,"Pipedrive, Mailchimp, Squarespace",76834
TGT-50163,Kestrel Cloud,https://kestrelcloud.com,Insurance Tech,1556,10000000,USA,PE-Backed,2024-12-13,Yes,No,No,16,"Salesforce, Marketo, Contentful, Figma",8070
